,Year,Country,Region,Artist,Song,Artist.gender,Group.Solo,Place,Points,Home.Away.Country,Home.Away.Region,Is.Final,Semi.Final.Number,Song.In.English,Song.Quality,Normalized.Points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,Happiness
57,2007,Slovenia,Former Yugoslavia,Alenka Gotar,Cvet z juga,Female,Solo,15,66,Away,Away,1,NA,0,1.450661616,0.02709359606,0.788287513,183.76,0.8054906468,0.3174913356,124.723,0.05851066767,3,0.3514937952,4,1,-3.797,0.2297059693,4.838571429
58,2007,Hungary,Former Socialist Bloc,Magdi R£zsa,Unsubstantial Blues,Female,Solo,9,128,Away,Away,1,NA,1,3.135443313,0.05254515599,0.4566849748,182.1093,0.8501289684,0.4792462063,93.495,0.0343423144,10,0.1348406663,5,0,-4.086,0.5879423399,NA
59,2007,Lithuania,Former Socialist Bloc,4Fun,Love or Leave,Both,Group,21,28,Away,Away,1,NA,1,0.609374744,0.01149425287,0.6160903751,181.05424,0.1751542475,0.6598102629,83.523,0.03011101672,8,0.08629805095,4,1,-7.794,0.5640577316,5.32896
60,2007,Greece,Western Europe,Sarbel,Yassou Maria,Male,Solo,7,139,Away,Away,1,NA,1,3.099838236,0.05706075534,0.7652812918,30.02399,0.008778647444,0.5998748058,86.017,0.03731617193,4,0.3324365944,4,1,-11.735,0.7040548912,5.461308411
61,2007,Georgia,Former Socialist Bloc,Sopho,Visionary Dream,Female,Solo,12,97,Away,Away,1,NA,1,2.353758667,0.03981937603,0.7260929219,170.07846,0.05807381294,0.5514234418,121.83,0.05025666269,7,0.1111875299,3,1,-6.317,0.4190989879,NA
62,2007,Sweden,Scandinavia,The Ark,The Worrying Kind,Male,Group,18,51,Away,Home,1,NA,1,1.256703882,0.02093596059,0.8612851414,177.12435,0.04154688896,0.5495649584,66.976,0.03218171451,11,0.08333511506,4,1,-4.429,0.7928746367,5.5
63,2007,France,Western Europe,Les Fatals Picards,L'amour _ La Franaise,Male,Group,22,19,Away,Away,1,NA,1,0.4284384079,0.007799671593,0.8944322913,162.73088,0.009069403729,0.57129814,83.548,0.05192785008,0,0.5294601744,4,1,-6.653,0.712696709,NA
64,2007,Latvia,Former Socialist Bloc,Bonaparti.lv,Questa notte,Male,Group,16,54,Away,Away,1,NA,0,1.290626923,0.02216748768,0.5712330886,178.77333,0.1454119593,0.4092873091,88.862,0.03029373715,10,0.09546778253,4,1,-5.004,0.2634820617,4.963888889
65,2007,Russia,Former Socialist Bloc,Serebro,Song #1,Female,Group,3,207,Away,Away,1,NA,1,4.796469423,0.08497536946,0.9538356407,199.6419,0.005673533883,0.6914622708,128.057,0.044531171,10,0.3848381594,4,1,-3.074,0.6080779241,5.362285714
66,2007,Germany,Western Europe,Roger Cicero,Frauen regier'n die Welt,Male,Solo,19,49,Away,Away,1,NA,1,1.218459304,0.02011494253,0.6975929306,178.10667,0.2859849565,0.4949706914,101.625,0.1101453615,11,0.09957703341,3,0,-4.042,0.7620474097,4.584646465
67,2007,Serbia,Former Yugoslavia,Marija ?erifovi?,Molitva,Female,Solo,1,268,Away,Away,1,NA,0,6.113882935,0.1100164204,0.9594976651,218.04363,0.02809421646,0.6506685995,132.007,0.1343565438,4,0.1421566698,4,0,-5.242,0.4656157379,NA
68,2007,Ukraine,Former Socialist Bloc,Verka Serduchka,Dancing Lasha Tumbai,Male,Solo,2,235,Away,Away,1,NA,1,5.618015902,0.09646962233,0.9650342811,180.18068,0.0230763732,0.7287923697,144.037,0.04820754327,11,0.3185286604,4,0,-4.57,0.968450081,NA
69,2007,United Kingdom,Independent,Scooch,Flying the Flag (for You),Both,Group,23,19,Away,Away,1,NA,1,0.6285108545,0.007799671593,0.9854996549,282.67927,0.05479975136,0.559747093,137.848,0.04967307603,5,0.09236948567,1,0,-9.378,0.500893576,5.166609442
70,2007,Romania,Former Socialist Bloc,Todomondo,"Liubi, Liubi, I Love You",Male,Group,13,84,Away,Away,1,NA,1,2.064313099,0.03448275862,0.5853559306,179.94558,0.02010603042,0.5684992997,108.242,0.07249024343,1,0.1211796891,4,0,-7.33,0.9284024321,5.269736842
71,2007,Bulgaria,Former Socialist Bloc,Elitsa Todorova and Stoyan Yankoulov,Water,Both,Group,5,157,Away,Away,1,NA,0,3.824546501,0.0644499179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2007,Turkey,Independent,Kenan Do?ulu,Shake It Up Shekerim,Male,Solo,4,163,Away,Away,1,NA,1,3.940233449,0.06691297209,0.7405083492,182.7522,0.0197046549,0.8041607235,107.998,0.08121584928,10,0.03756774365,4,0,-6.863,0.7082659967,NA
73,2007,Armenia,Former Socialist Bloc,Hayko,Anytime You Need,Male,Solo,8,138,Away,Away,1,NA,1,3.176107557,0.05665024631,0.5675100475,179.72345,0.4784467928,0.4512738752,167.906,0.03094070277,7,0.1073942247,4,0,-8.535,0.1225513653,NA
74,2007,Moldova,Former Socialist Bloc,Natalia Barbu,Fight,Female,Solo,10,107,Away,Away,1,NA,1,2.690739714,0.0447454844,0.9030911554,179.02975,0.3001544384,0.5821260066,170.093,0.06653656955,2,0.1346180654,4,0,-3.92,0.2641783411,5.174146341
75,2006,Switzerland,Western Europe,six4one,If We All Give A Little,Both,Group,16,30,Away,Home,1,NA,1,0.8114686858,0.01361161525,0.7463073897,182.28635,0.06256709193,0.4064801502,160.557,0.06982760441,11,0.1522915401,4,1,-6.132,0.206355885,5.7504
76,2006,Moldova,Former Socialist Bloc,Arsenium feat. Natalia Gordienko & Connect-R,Loca,Both,Group,20,22,Away,Away,1,NA,1,0.6091623817,0.00998185118,0.7074822311,178.46812,0.06091931315,0.829763918,93.004,0.1827457568,4,0.06612528706,4,0,-5.755,0.8531642429,NA
77,2006,Israel,Independent,Eddie Butler,Together We Are One,Male,Solo,23,4,Away,Away,1,NA,1,0.04949052479,0.001814882033,0.732123508,185.75628,0.152364327,0.5272234277,90.002,0.02840485405,0,0.1291084708,4,1,-6.166,0.4711377943,5.681512605
78,2006,Latvia,Former Socialist Bloc,Vocal Group Cosmos,I Hear Your Heart,Male,Group,16,30,Away,Away,1,NA,1,0.8401587369,0.01361161525,0.3393318479,180.61161,0.8512868026,0.4790690314,167.386,0.2399976065,6,0.08990434587,4,0,-11.982,0.1697036047,NA
79,2006,Norway,Scandinavia,Christine Guldbrandsen,Alvedansen,Female,Solo,14,36,Away,Away,1,NA,0,1.01285532,0.01633393829,0.6753083295,175.0722,0.10030862,0.4509192622,86.014,0.02769373362,7,0.3000943413,4,0,-6.618,0.4826567029,5.796
80,2006,Spain,Western Europe,Las Ketchup,Un Blodymary,Female,Group,21,18,Away,Home,1,NA,0,0.1465046352,0.008166969147,0.7950502828,182.5171,0.035417835,0.7464432145,136.041,0.03738386768,8,0.09835322525,4,1,-7.36,0.8739792887,5.029791667
81,2006,Malta,Western Europe,Fabrizio Faniello,I Do,Male,Solo,24,1,Away,Home,1,NA,1,0.1086684689,0.0004537205082,0.7127718524,257.50884,0.05296785658,0.6813378846,136.013,0.06027681477,5,0.6346577302,4,0,-8.61,0.4416181735,5.73020202
82,2006,Germany,Western Europe,Texas Lightning,No No Never,Both,Group,14,36,Away,Home,1,NA,1,0.9620778991,0.01633393829,0.8418569792,180.51147,0.07640146443,0.6474704943,121.003,0.0291864097,2,0.2829341379,4,1,-6.133,0.7731541683,5.347641509
83,2006,Denmark,Scandinavia,Sidsel Ben Semmane,Twist of Love,Female,Solo,18,26,Away,Away,1,NA,1,0.6645580834,0.01179673321,0.8902106848,179.47537,0.003545739551,0.5055730522,78.984,0.03388673303,9,0.3047367329,4,1,-3.016,0.7995121373,5.352795031
84,2006,Russia,Former Socialist Bloc,Dima Bilan,Never Let You Go,Male,Solo,2,248,Away,Away,1,NA,1,6.39074943,0.112522686,0.9194823139,180.2068,0.2513558857,0.5529049557,85.034,0.06319731099,7,0.4127884879,4,0,-5.412,0.4485108095,NA
85,2006,Macedonia,Former Yugoslavia,Elena Risteska,Ninanajna,Female,Solo,12,56,Away,Away,1,NA,1,1.506780539,0.02540834846,0.79709241,181.39383,0.008039145479,0.747202462,100.06,0.07371927859,0,0.09166877619,4,1,-5.327,0.686494127,NA
86,2006,Romania,Former Socialist Bloc,Mihai Tr?istariu,Tornerâ,Male,Solo,4,176,Away,Away,1,NA,1,4.608881186,0.0780399274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,2006,Bosnia and Herzegovina,Former Yugoslavia,Hari Mata Hari,Lejla,Male,Group,3,229,Away,Away,1,NA,0,6.22364043,0.1039019964,0.6268174624,191.17379,0.05803643632,0.3487952649,81.17,0.0375750219,6,0.9755244715,3,0,-4.494,0.2029411139,5.195555556
88,2006,Lithuania,Former Socialist Bloc,LT United,We Are The Winners,Male,Group,6,162,Away,Away,1,NA,1,4.502332693,0.07350272232,0.7028181508,151.53333,0.009585581218,0.7336706375,129.998,0.06924667014,10,0.07213635831,4,0,-6.27,0.8795728085,5.734032258
89,2006,United Kingdom,Independent,Daz Sampson,Teenage Life,Male,Solo,19,25,Away,Away,1,NA,1,0.6916650386,0.0113430127,0.9200707771,184.88118,0.5765551531,0.5564616065,179.757,0.09311206899,7,0.8562855869,4,1,-5.553,0.8541276707,5.52954386
90,2006,Greece,Western Europe,Anna Vissi,Everything,Female,Solo,9,128,Home,Home,1,NA,1,3.141410581,0.05807622505,0.5260387801,180.52,0.02548527569,0.5301640002,88.211,0.02850301251,3,0.2467904317,4,0,-7.118,0.5139150632,NA
91,2006,Finland,Scandinavia,Lordi,Hard Rock Hallelujah,Male,Group,1,292,Away,Away,1,NA,1,7.912414527,0.1324863884,0.9485093578,247.2,0.01859169319,0.5498821818,123.033,0.04820482515,8,0.1382203612,4,1,-4.041,0.5301657735,NA
92,2006,Ukraine,Former Socialist Bloc,Tina Karol,Show Me Your Love,Female,Solo,7,145,Away,Away,1,NA,1,3.807269263,0.06578947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.770921053
93,2006,France,Western Europe,Virginie Pouchain,Il _tait temps,Female,Solo,22,5,Away,Home,1,NA,0,-0.228006664,0.002268602541,0.3356985554,182.46485,0.05590739387,0.613181947,99.916,0.03065248775,0,0.08563147423,4,0,-6.539,0.3079030522,5.046615385
94,2006,Croatia,Former Yugoslavia,Severina,Moja ?tikla,Female,Solo,12,56,Away,Away,1,NA,0,1.559197805,0.02540834846,0.9157728387,224.41796,0.1144017854,0.4118042492,102.088,0.06306170255,4,0.9533402006,4,1,-4.471,0.4693108958,5.116
95,2006,Ireland,Independent,Brian Kennedy,Every Song Is a Cry for Love,Male,Solo,10,93,Away,Away,1,NA,1,2.520905688,0.04219600726,0.5426166195,180.61333,0.05238214716,0.4576022375,70.038,0.02680111435,7,0.1190951303,4,1,-5.976,0.3131739636,5.284
96,2006,Sweden,Scandinavia,Carola,Invincible,Female,Solo,5,170,Away,Away,1,NA,1,4.523196015,0.07713248639,0.9018470725,445.75302,0.001751004638,0.6698665267,130.993,0.04432228747,1,0.03983875886,4,1,-5.264,0.8666168463,5.935357143
97,2006,Turkey,Independent,Sibel Tzn,Sper Star,Female,Solo,11,91,Away,Away,1,NA,1,2.490916202,0.04128856624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,2006,Armenia,Former Socialist Bloc,Andr_,Without Your Love,Male,Solo,8,129,Away,Away,1,NA,1,3.33822984,0.05852994555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,2005,Hungary,Former Socialist Bloc,NOX,"Forogj, vil_g!",Both,Group,12,97,Away,Home,1,NA,0,2.519460512,0.04288240495,0.8806300222,396.77333,0.1735651968,0.4126648973,144.843,0.4082601613,11,0.6963179061,4,0,-8.261,0.4511184154,5.294782609
100,2005,United Kingdom,Independent,Javine,Touch My Fire,Female,Solo,22,18,Away,Away,1,NA,1,0.4306379467,0.007957559682,0.7636974974,190.30159,0.03564880053,0.7464064466,120.029,0.06294794125,10,0.2805150726,4,0,-5.963,0.8491097844,5.365098039
